cleaned_short_desc,cleaned_desc,Assignment group
login issue,verify user detail employee manager name check user name ad reset password advise user login check caller confirm able login issue resolve,GRP_0
outlook,team meeting skype meeting etc appear outlook calendar somebody please advise correct kind,GRP_0
cant log vpn,cannot log vpn best,GRP_0
unable access hr tool page,unable access hr tool page,GRP_0
skype error,skype error,GRP_0
unable log engineering tool skype,unable log engineering tool skype,GRP_0
event critical hostname 221 company com value mountpoint threshold oracle sid 37 erpdata21,event critical hostname 221 company com value mountpoint threshold oracle sid 37 erpdata21 sr3psa1d 7 sr3psa1d data7 perpsr3psa1d 4524 98,GRP_1
ticket no1550391 employment status new non employee enter user name,ticket no1550391 employment status new non employee enter user name,GRP_0
unable disable add outlook,unable disable add outlook,GRP_0
ticket update inplant 874773,ticket update inplant 874773,GRP_0
engineering tool say connect unable submit report,engineering tool say connect unable submit report,GRP_0
hr tool site loading page correctly,hr tool site loading page correctly,GRP_0
unable login hr tool sgxqsuojr xwbesorf card,unable login hr tool sgxqsuojr xwbesorf card,GRP_0
user want reset password,user want reset password,GRP_0
unable open payslip,unable open payslip,GRP_0
ticket update inplant 874743,ticket update inplant 874743,GRP_0
unable login company vpn,unable login company vpn website try open new session use link able get pls help urgently work home tomorrow due month end closing,GRP_0
undocking pc screen come back,undocking pc screen come back,GRP_3
erp sid 34 account lock,erp sid 34 account lock,GRP_0
unable sign vpn,unable sign vpn,GRP_0
unable check payslip,unable check payslip,GRP_0
vpn issue,helpdesk able connect vpn home office couple f hour ago connect work anymore get message session expire click link nothing happen cid image001 jpg 01d233aa 3f618be0 need help dynamic crm click chat live agent regard dynamic crm question click best,GRP_0
unable connect vpn,unable connect vpn,GRP_0
user call vendor phone number,user call vendor phone number,GRP_0
vpn work,able connect company network vpn pls check sir able upload result company network,GRP_0
erp sid 37 password reset,erp sid 37 password reset,GRP_0
unable login hr tool check payslip,unable login hr tool check payslip,GRP_0
account lock,account lock,GRP_0
unable login hr tool,unable login hr tool,GRP_0
